,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
2307,VALLADOLID,CELTA,1-1,0-1,4.0,6.2,6.2,54,46,5.0,4.0,10.0,1.0,4.0,32.0,74.0,10.0,8.0,26.0,3.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,24.0,71.0,21.0,32.0,17.0,4.0,0.0,0.0,1,1,1,1,2020
2308,CÁDIZ CF,SEVILLA FC,1-3,0-0,6.8,5.1,6.9,24,76,6.0,5.0,12.0,1.0,6.0,12.0,61.0,21.0,14.0,9.0,4.0,0.0,0.0,7.0,5.0,14.0,2.0,5.0,19.0,91.0,15.0,20.0,14.0,2.0,0.0,0.0,1,3,3,1,2020
2309,BARCELONA,VILLARREAL,4-0,4-0,5.7,8.7,4.1,56,44,3.0,9.0,17.0,5.0,8.0,14.0,89.0,5.0,16.0,9.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,4.0,9.0,85.0,6.0,7.0,10.0,1.0,0.0,0.0,4,0,0,4,2020
2310,REAL SOCIEDAD,VALENCIA,0-1,0-0,3.4,5.6,6.5,65,35,5.0,3.0,11.0,3.0,9.0,19.0,83.0,22.0,8.0,16.0,1.0,0.0,0.0,1.0,5.0,9.0,3.0,3.0,13.0,71.0,18.0,27.0,15.0,5.0,0.0,0.0,0,1,1,0,2020
2311,GETAFE,REAL BETIS,3-0,3-0,4.6,6.9,5.3,30,70,1.0,4.0,8.0,3.0,1.0,26.0,58.0,18.0,16.0,15.0,4.0,0.0,0.0,4.0,2.0,10.0,4.0,4.0,24.0,84.0,18.0,11.0,17.0,3.0,1.0,0.0,3,0,0,3,2020
2312,HUESCA,ATLETICO MADRID,0-0,0-0,3.1,7.0,5.7,37,63,4.0,3.0,9.0,2.0,5.0,13.0,76.0,17.0,22.0,13.0,1.0,0.0,0.0,7.0,2.0,16.0,7.0,7.0,23.0,86.0,19.0,9.0,10.0,0.0,0.0,0.0,0,0,0,0,2020
2313,VILLARREAL,ALAVÉS,3-1,2-1,5.6,7.3,5.1,59,41,4.0,6.0,10.0,0.0,2.0,24.0,83.0,9.0,10.0,11.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,0.0,21.0,75.0,21.0,18.0,13.0,2.0,0.0,0.0,3,1,1,3,2020
2314,EIBAR,ELCHE,0-1,0-1,3.1,5.3,6.8,61,39,7.0,4.0,12.0,1.0,3.0,34.0,84.0,18.0,6.0,9.0,2.0,0.0,0.0,1.0,2.0,5.0,2.0,2.0,27.0,66.0,19.0,27.0,14.0,2.0,0.0,0.0,0,1,1,0,2020
2315,REAL MADRID,VALLADOLID,1-0,0-0,4.4,6.4,6.1,63,37,6.0,5.0,15.0,4.0,4.0,19.0,87.0,15.0,19.0,11.0,2.0,0.0,0.0,6.0,5.0,11.0,0.0,7.0,22.0,79.0,13.0,20.0,7.0,1.0,0.0,0.0,1,0,0,1,2020
2316,ATHLETIC,CÁDIZ CF,0-1,0-0,3.8,5.2,6.0,72,28,7.0,4.0,13.0,2.0,5.0,20.0,83.0,21.0,11.0,15.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,13.0,59.0,18.0,28.0,16.0,3.0,2.0,0.0,0,1,1,0,2020
2317,SEVILLA FC,LEVANTE,1-0,0-0,3.3,6.5,5.5,65,35,11.0,2.0,16.0,3.0,2.0,16.0,88.0,14.0,7.0,14.0,6.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,22.0,76.0,9.0,14.0,17.0,2.0,0.0,0.0,1,0,0,1,2020
2318,CELTA,BARCELONA,0-3,0-1,6.2,4.9,7.3,44,56,2.0,3.0,10.0,5.0,3.0,15.0,81.0,5.0,10.0,22.0,5.0,0.0,0.0,2.0,4.0,7.0,1.0,7.0,17.0,86.0,5.0,15.0,10.0,4.0,1.0,0.0,0,3,3,0,2020
2319,GRANADA,OSASUNA,2-0,2-0,3.7,6.3,5.4,40,60,2.0,2.0,9.0,5.0,4.0,25.0,58.0,24.0,23.0,16.0,1.0,0.0,0.0,6.0,3.0,15.0,6.0,4.0,29.0,75.0,26.0,12.0,17.0,4.0,0.0,0.0,2,0,0,2,2020
2320,VALLADOLID,EIBAR,1-2,1-1,6.0,4.7,6.0,53,47,4.0,3.0,9.0,2.0,3.0,23.0,69.0,12.0,15.0,11.0,2.0,0.0,0.0,5.0,5.0,11.0,1.0,4.0,24.0,65.0,23.0,14.0,21.0,3.0,0.0,1.0,1,2,2,1,2020
